Mode_Implied,00,1,7,0
Mode_IndirectX,ORA,01,2,6,0
Mode_ZeroPage,ORA,05,2,3,0
Mode_ZeroPage,ASL,06,2,5,0
Mode_Implied,08,1,3,0
Mode_Immediate,ORA,09,2,2,0
Mode_Relative,BPL,10,2,2,1
Mode_IndirectY,ORA,),11,2,5,1
Mode_ZeroPageX,ORA,15,2,4,0
Mode_ZeroPageX,ASL,16,2,6,0
Mode_Implied,18,1,2,0
Mode_AbsoluteY,ORA,19,3,4,1
Mode_Absolute,JSR,20,3,6,0
Mode_IndirectX,AND,21,2,6,0
Mode_ZeroPage,BIT,24,2,3,0
Mode_ZeroPage,AND,25,2,3,0
Mode_ZeroPage,ROL,26,2,5,0
Mode_Implied,28,1,4,0
Mode_Immediate,AND,29,2,2,0
Mode_Relative,BMI,30,2,2,1
Mode_IndirectY,AND,),31,2,5,1
Mode_ZeroPageX,AND,35,2,4,0
Mode_ZeroPageX,ROL,36,2,6,0
Mode_Implied,38,1,2,0
Mode_AbsoluteY,AND,39,3,4,1
Mode_Implied,40,1,6,0
Mode_IndirectX,EOR,41,2,6,0
Mode_ZeroPage,EOR,45,2,3,0
Mode_ZeroPage,LSR,46,2,5,0
Mode_Implied,48,1,3,0
Mode_Immediate,EOR,49,2,2,0
Mode_Relative,BVC,50,2,2,1
Mode_IndirectY,EOR,),51,2,5,1
Mode_ZeroPageX,EOR,55,2,4,0
Mode_ZeroPageX,LSR,56,2,6,0
Mode_Implied,58,1,2,0
Mode_AbsoluteY,EOR,59,3,4,1
Mode_Implied,60,1,6,0
Mode_IndirectX,ADC,61,2,6,0
Mode_ZeroPage,ADC,65,2,3,0
Mode_ZeroPage,ROR,66,2,5,0
Mode_Implied,68,1,4,0
Mode_Immediate,ADC,69,2,2,0
Mode_Relative,BVC,70,2,2,1
Mode_IndirectY,ADC,),71,2,5,1
Mode_ZeroPageX,ADC,75,2,4,0
Mode_ZeroPageX,ROR,76,2,6,0
Mode_Implied,78,1,2,0
Mode_AbsoluteY,ADC,79,3,4,1
Mode_IndirectX,STA,81,2,6,0
Mode_ZeroPage,STY,84,2,3,0
Mode_ZeroPage,STA,85,2,3,0
Mode_ZeroPage,STX,86,2,3,0
Mode_Implied,88,1,2,0
Mode_Relative,BCC,90,2,2,1
Mode_IndirectY,STA,),91,2,6,0
Mode_ZeroPageX,STY,94,2,4,0
Mode_ZeroPageX,STA,95,2,4,0
Mode_ZeroPageY,STX,96,2,4,0
Mode_Implied,98,1,2,0
Mode_AbsoluteY,STA,99,3,5,0
Mode_Accumulator,ASL,0A,1,2,0
Mode_Absolute,ORA,0D,3,4,0
Mode_Absolute,ASL,0E,3,6,0
Mode_AbsoluteX,ORA,1D,3,4,1
Mode_AbsoluteX,ASL,1E,3,7,0
Mode_Accumulator,ROL,2A,1,2,0
Mode_Absolute,BIT,2C,3,4,0
Mode_Absolute,AND,2D,3,4,0
Mode_Absolute,ROL,2E,3,6,0
Mode_AbsoluteX,AND,3D,3,4,1
Mode_AbsoluteX,ROL,3E,3,7,0
Mode_Accumulator,LSR,4A,1,2,0
Mode_Absolute,JMP,4C,3,3,0
Mode_Absolute,EOR,4D,3,4,0
Mode_Absolute,LSR,4E,3,6,0
Mode_AbsoluteX,EOR,5D,3,4,1
Mode_AbsoluteX,LSR,5E,3,7,0
Mode_Accumulator,ROR,6A,1,2,0
indirect,JMP,(,6C,3,5,0
Mode_Absolute,ADC,6D,3,4,0
Mode_Absolute,ROR,6E,3,6,0
Mode_AbsoluteX,ADC,7D,3,4,1
Mode_AbsoluteX,ROR,7E,3,7,0
Mode_Implied,8A,1,2,0
Mode_Absolute,STY,8C,3,4,0
Mode_Absolute,STA,8D,3,4,0
Mode_Absolute,STX,8E,3,4,0
Mode_Implied,9A,1,2,0
Mode_AbsoluteX,STA,9D,3,5,0
Mode_Immediate,LDY,A0,2,2,0
Mode_IndirectX,LDA,A1,2,6,0
Mode_Immediate,LDX,A2,2,2,0
Mode_ZeroPage,LDY,A4,2,3,0
Mode_ZeroPage,LDA,A5,2,3,0
Mode_ZeroPage,LDX,A6,2,3,0
Mode_Implied,A8,1,2,0
Mode_Immediate,LDA,A9,2,2,0
Mode_Implied,AA,1,2,0
Mode_Absolute,LDY,AC,3,4,0
Mode_Absolute,LDA,AD,3,4,0
Mode_Absolute,LDX,AE,3,4,0
Mode_Relative,BCS,B0,2,2,1
Mode_IndirectY,LDA,),B1,2,5,1
Mode_ZeroPageX,LDY,B4,2,4,0
Mode_ZeroPageX,LDA,B5,2,4,0
Mode_ZeroPageY,LDX,B6,2,4,0
Mode_Implied,B8,1,2,0
Mode_AbsoluteY,LDA,B9,3,4,1
Mode_Implied,BA,1,2,0
Mode_AbsoluteX,LDY,BC,3,4,1
Mode_AbsoluteX,LDA,BD,3,4,1
Mode_AbsoluteY,LDX,BE,3,4,1
Mode_Immediate,CPY,C0,2,2,0
Mode_IndirectX,CMP,C1,2,6,0
Mode_ZeroPage,CPY,C4,2,3,0
Mode_ZeroPage,CMP,C5,2,3,0
Mode_ZeroPage,DEC,C6,2,5,0
Mode_Implied,C8,1,2,0
Mode_Immediate,CMP,C9,2,2,0
Mode_Implied,CA,1,2,0
Mode_Absolute,CPY,CC,3,4,0
Mode_Absolute,CMP,CD,3,4,0
Mode_Absolute,DEC,CE,3,3,0
Mode_Relative,BNE,D0,2,2,1
Mode_IndirectY,CMP,),D1,2,5,1
Mode_ZeroPageX,CMP,D5,2,4,0
Mode_ZeroPageX,DEC,D6,2,6,0
Mode_Implied,D8,1,2,0
Mode_AbsoluteY,CMP,D9,3,4,1
Mode_AbsoluteX,CMP,DD,3,4,1
Mode_AbsoluteX,DEC,DE,3,7,0
Mode_Immediate,CPX,E0,2,2,0
Mode_IndirectX,SBC,E1,2,6,0
Mode_ZeroPage,CPX,E4,2,3,0
Mode_ZeroPage,SBC,E5,2,3,0
Mode_ZeroPage,INC,E6,2,5,0
Mode_Implied,E8,1,2,0
Mode_Immediate,SBC,E9,2,2,0
Mode_Implied,EA,1,2,0
Mode_Absolute,CPX,EC,3,4,0
Mode_Absolute,SBC,ED,3,4,0
Mode_Absolute,INC,EE,3,6,0
Mode_Relative,BEQ,F0,2,2,1
Mode_IndirectY,SBC,),F1,2,5,1
Mode_ZeroPageX,SBC,F5,2,4,0
Mode_ZeroPageX,INC,F6,2,6,0
Mode_Implied,F8,1,2,0
Mode_AbsoluteY,SBC,F9,3,4,1
Mode_AbsoluteX,SBC,FD,3,4,1
Mode_AbsoluteX,INC,X",FE,3,7,0